orf	med	prey	homo	ppi	interaction	D	M	R	type_para
YAL032C	10.4442111010594	YAL032C	0	0	0	3.59617186214146	2.60165611094695	-0.994515751194512	S
YAL034C	6.94275286489613	YAL034C	0	0	0	4.2890745637073	6.11184093134777	1.82276636764047	wgd
YAL036C	10.9038150340299	YAL036C	0	0	0	5.64056598149991	5.78997698142285	0.149410999922935	ssd
YAL037C-A	6.92509341882289	YAL037C-A	0	0	0	NA	NA	NA	S
YAL037W	6.82642248650099	YAL037W	0	0	0	2.87562477827	3.3399483165301	0.464323538260095	wgd
YAL038W	6.83687536971903	YAL038W	0	0	0	12.2404663911095	10.9466504547836	-1.29381593632585	wgd
YAL039C	12.129474771907	YAL039C	1	0	0	6.16410643616891	6.76128527336162	0.597178837192714	ssd
YAL040C	11.7985766312191	YAL040C	0	0	0	5.16453288337933	6.0420708221837	0.877537938804366	ssd
YAL041W	11.9507826385085	YAL041W	1	0	0	4.20420333239365	3.30601136515964	-0.898191967234007	ssd
YAL042W	6.95414939500066	YAL042W	0	0	0	4.88450512448582	4.80946589463946	-0.0750392298463636	ssd
YAL043C	6.65665410771607	YAL043C	1	0	0	6.41256645969622	6.86263735755879	0.450070897862572	S
YAL044C	11.7976645424661	YAL044C	0	0	0	9.01582201619154	9.02559362131079	0.00977160511925312	S
YAL046C	11.6760609896657	YAL046C	0	0	0	6.36081724257437	5.84059163556743	-0.52022560700694	ssd
YAL047C	13.7554515319017	YAL047C	4	1	1	3.99842118872913	3.86001922694698	-0.138401961782156	ssd
YAL048C	6.95250543119515	YAL048C	0	0	0	2.83000376373142	0.991179141210652	-1.83882462252077	ssd
YAL051W	7.15761016818795	YAL051W	2	0	0	4.9797418532182	4.89935450584039	-0.0803873473778101	ssd_wgd
YAL054C	11.9517912687952	YAL054C	0	0	0	2.83000376373142	2.82452144381635	-0.00548231991506487	ssd
YAL055W	11.8475223671456	YAL055W	0	0	0	4.53525671090384	4.38059786029366	-0.154658850610178	S
YAL056W	11.2839564586606	YAL056W	0	0	0	5.25170015947594	5.63431155531674	0.382611395840796	wgd
YAL060W	15.2072418958157	YAL060W	0	1	1	8.17253251902074	8.84032474864153	0.667792229620781	ssd
YAL061W	6.98271178290506	YAL061W	0	0	0	5.42940171979661	3.18772341420822	-2.24167830558839	ssd
YAL062W	12.2614821448861	YAL062W	0	0	0	5.07975356407454	10.5048189876328	5.4250654235583	wgd
YAL063C	11.7949982343337	YAL063C	0	0	0	2.52466801633163	4.2668914601554	1.74222344382377	ssd
YAL063C-A	11.4393413001469	YAL063C-A	0	0	0	NA	NA	NA	S
YAL064C-A	9.47677710865596	YAL064C-A	0	0	0	0	0.991179141210652	0.991179141210652	ssd
YAL064W	11.4844615133244	YAL064W	0	0	0	NA	NA	NA	S
YAL064W-B	9.14020415562927	YAL064W-B	0	0	0	0	0	0	S
YAL065C	6.91277755043541	YAL065C	0	0	0	0	0	0	ssd
YAL067W-A	11.7046050116631	YAL067W-A	0	0	0	NA	NA	NA	ssd
YAL068C	6.99929521487266	YAL068C	0	0	0	NA	NA	NA	ssd
YAR002W	12.5412671561378	YAR002W	0	0	1	5.64757067167755	5.68308725016804	0.0355165784904985	ssd
YAR003W	11.5099582223108	YAR003W	0	0	0	4.85473875300095	5.68308725016804	0.828348497167098	ssd
YAR007C	6.77441095422938	YAR007C	2	0	0	5.85156916172992	5.74755389617402	-0.104015265555898	S
YAR014C	7.09664716915792	YAR014C	0	0	0	4.80434789326392	4.93707598070345	0.132728087439532	S
YAR015W	15.267631490882	YAR015W	0	1	1	8.07284539949822	8.67817052347324	0.605325123975021	S
YAR018C	12.5682394782171	YAR018C	1	0	1	6.65596141021541	8.67101024127845	2.01504883106304	ssd
YAR020C	11.7644938541783	YAR020C	0	0	0	0	0	0	S
YAR028W	6.57693432761162	YAR028W	2	0	0	2.16731296325649	0	-2.16731296325649	ssd
YAR029W	6.76080021986186	YAR029W	0	0	0	0	0.927036267683973	0.927036267683973	ssd
YAR031W	11.4587877467003	YAR031W	0	0	0	1.45729484837647	4.50034317247624	3.04304832409977	ssd
YAR035C-A	11.5776240623451	YAR035C-A	0	0	0	NA	NA	NA	S
YAR035W	10.3248789419081	YAR035W	0	0	0	2.87562477827	4.73784897437117	1.86222419610117	ssd
YAR042W	15.1340680647048	YAR042W	2	1	1	4.72010879081651	5.02723811187913	0.307129321062617	ssd_wgd
YAR064W	11.7599873787307	YAR064W	0	0	0	NA	NA	NA	ssd
YAR066W	11.6750295855589	YAR066W	0	0	0	NA	NA	NA	ssd
YAR068W	7.12411204483424	YAR068W	0	0	0	1.37005265571591	2.67991917497906	1.30986651926315	S
YAR073W	10.6028775371387	YAR073W	0	0	0	NA	NA	NA	ssd
YBL002W	12.806682064921	YBL002W	1	0	1	8.47694462413826	5.30467530694392	-3.17226931719434	ssd
YBL003C	14.469208443035	YBL003C	2	1	1	8.31508614569589	5.23069873930361	-3.08438740639228	ssd
YBL004W	11.8418648443673	YBL004W	1	0	0	5.55333899792529	5.69204493593254	0.138705938007251	S
YBL006C	6.65814076587311	YBL006C	0	0	0	4.27294138278313	4.30512420290556	0.032182820122439	S
YBL007C	14.2369084354025	YBL007C	3	1	1	6.40607231815215	6.04865906074511	-0.357413257407046	ssd
YBL008W	11.1293009871532	YBL008W	2	0	0	4.61729260483408	5.06389980142422	0.446607196590135	ssd
YBL008W-A	11.3475697450581	YBL008W-A	0	0	0	NA	NA	NA	S
YBL009W	11.8630857919865	YBL009W	0	0	0	4.06293334499368	3.03754563618114	-1.02538770881254	wgd
YBL010C	11.0296035656095	YBL010C	0	0	0	2.64103498409098	0.927036267683973	-1.71399871640701	S
YBL011W	6.85663955181235	YBL011W	0	0	0	4.20420333239365	4.44170921501153	0.237505882617879	ssd
