Duplication	Prot-emptyme	Plate_1536	Col_1536	Row_1536	numbloc
WGD	YLR080W	4	11	10	60
SSD	YIL014C-A	4	11	11	61
SSD	YIL102C	4	11	12	61
WGD	YBR189W	4	11	13	62
WGD	YPL081W	4	11	14	62
WGD	YBR189W	4	11	15	63
WGD	YPL081W	4	11	16	63
WGD	YJL099W	4	11	17	64
WGD	YKR027W	4	11	18	64
SSD	YDR391C	4	11	19	65
SSD	YOR012W	4	11	20	65
SSD	YMR253C	4	11	21	66
SSD	YPL264C	4	11	22	66
SSD	YJL219W	4	11	23	67
SSD	YOL156W	4	11	24	67
SSD	YEL066W	4	11	25	68
SSD	YPR193C	4	11	26	68
WGD	YBL075C	4	11	27	69
WGD	YER103W	4	11	28	69
WGD	YER081W	4	11	29	70
WGD	YIL074C	4	11	30	70
empty	empty	4	11	31	NA
empty	empty	4	11	32	NA
empty	empty	4	12	1	NA
empty	empty	4	12	2	NA
WGD	YOR204W	4	12	3	57
WGD	YPL119C	4	12	4	57
SSD	YEL066W	4	12	5	58
SSD	YPR193C	4	12	6	58
WGD	YHL033C	4	12	7	59
WGD	YLL045C	4	12	8	59
WGD	YFL048C	4	12	9	60
WGD	YLR080W	4	12	10	60
SSD	YIL014C-A	4	12	11	61
SSD	YIL102C	4	12	12	61
WGD	YBR189W	4	12	13	62
WGD	YPL081W	4	12	14	62
WGD	YBR189W	4	12	15	63
WGD	YPL081W	4	12	16	63
WGD	YJL099W	4	12	17	64
WGD	YKR027W	4	12	18	64
SSD	YDR391C	4	12	19	65
SSD	YOR012W	4	12	20	65
SSD	YMR253C	4	12	21	66
SSD	YPL264C	4	12	22	66
SSD	YJL219W	4	12	23	67
SSD	YOL156W	4	12	24	67
SSD	YEL066W	4	12	25	68
SSD	YPR193C	4	12	26	68
WGD	YBL075C	4	12	27	69
WGD	YER103W	4	12	28	69
WGD	YER081W	4	12	29	70
WGD	YIL074C	4	12	30	70
empty	empty	4	12	31	NA
empty	empty	4	12	32	NA
empty	empty	4	13	1	NA
empty	empty	4	13	2	NA
SSD	YKL188C	4	13	3	71
SSD	YPL147W	4	13	4	71
WGD	YJL099W	4	13	5	72
WGD	YKR027W	4	13	6	72
WGD	YOR204W	4	13	7	73
WGD	YPL119C	4	13	8	73
WGD	YER131W	4	13	9	74
WGD	YGL189C	4	13	10	74
SSD	YAR071W	4	13	11	75
SSD	YHR215W	4	13	12	75
SSD	YOL082W	4	13	13	76
SSD	YOL083W	4	13	14	76
WGD	YBL039C	4	13	15	77
WGD	YJR103W	4	13	16	77
WGD	YLR450W	4	13	17	78
WGD	YML075C	4	13	18	78
SSD	YIR031C	4	13	19	79
SSD	YNL117W	4	13	20	79
WGD	YGR004W	4	13	21	80
WGD	YLR324W	4	13	22	80
SSD	YIL014C-A	4	13	23	81
SSD	YIL102C	4	13	24	81
WGD	YDR385W	4	13	25	82
WGD	YOR133W	4	13	26	82
SSD	YJL212C	4	13	27	83
SSD	YPR194C	4	13	28	83
WGD	YDL181W	4	13	29	84
WGD	YDL130W-A	4	13	30	84
empty	empty	4	13	31	NA
empty	empty	4	13	32	NA
empty	empty	4	14	1	NA
empty	empty	4	14	2	NA
SSD	YKL188C	4	14	3	71
SSD	YPL147W	4	14	4	71
WGD	YJL099W	4	14	5	72
WGD	YKR027W	4	14	6	72
WGD	YOR204W	4	14	7	73
WGD	YPL119C	4	14	8	73
WGD	YER131W	4	14	9	74
WGD	YGL189C	4	14	10	74
SSD	YAR071W	4	14	11	75
SSD	YHR215W	4	14	12	75
SSD	YOL082W	4	14	13	76
SSD	YOL083W	4	14	14	76
WGD	YBL039C	4	14	15	77
WGD	YJR103W	4	14	16	77
WGD	YLR450W	4	14	17	78
WGD	YML075C	4	14	18	78
SSD	YIR031C	4	14	19	79
SSD	YNL117W	4	14	20	79
WGD	YGR004W	4	14	21	80
WGD	YLR324W	4	14	22	80
SSD	YIL014C-A	4	14	23	81
SSD	YIL102C	4	14	24	81
WGD	YDR385W	4	14	25	82
WGD	YOR133W	4	14	26	82
SSD	YJL212C	4	14	27	83
SSD	YPR194C	4	14	28	83
WGD	YDL181W	4	14	29	84
WGD	YDL130W-A	4	14	30	84
empty	empty	4	14	31	NA
empty	empty	4	14	32	NA
empty	empty	4	15	1	NA
empty	empty	4	15	2	NA
SSD	YFL011W	4	15	3	85
SSD	YMR011W	4	15	4	85
SSD	YDR461W	4	15	5	86
SSD	YNL145W	4	15	6	86
SSD	YGL008C	4	15	7	87
SSD	YPL036W	4	15	8	87
SSD	YJL212C	4	15	9	88
SSD	YPR194C	4	15	10	88
WGD	YGR214W	4	15	11	89
WGD	YLR048W	4	15	12	89
SSD	YIR031C	4	15	13	90
SSD	YNL117W	4	15	14	90
SSD	YDR391C	4	15	15	91
SSD	YOR012W	4	15	16	91
SSD	YFL011W	4	15	17	92
SSD	YMR011W	4	15	18	92
SSD	YDR391C	4	15	19	93
SSD	YOR012W	4	15	20	93
WGD	YNL104C	4	15	21	94
WGD	YOR108W	4	15	22	94
SSD	YIL014C-A	4	15	23	95
SSD	YIL102C	4	15	24	95
SSD	YOR390W	4	15	25	96
SSD	YPL279C	4	15	26	96
SSD	YKL188C	4	15	27	97
SSD	YPL147W	4	15	28	97
SSD	YEL073C	4	15	29	98
SSD	YJR108W	4	15	30	98
empty	empty	4	15	31	NA
empty	empty	4	15	32	NA
empty	empty	4	16	1	NA
empty	empty	4	16	2	NA
