Number	Gene	ORF	Known homomer	References
74	DBP3	YGL078C	_	Krogan NJ, et al. (2004)
75	DBP5	YOR046C		
76	DEF1	YKL054C	_	Tarassov K, et al. (2008)
77	DHR2	YKL078W		
78	DLD2	YDL178W		
79	DOP1	YDR141C	_	Barbosa S, et al. (2010)
80	DST1	YGL043W	_	Krogan NJ, et al. (2004)
81	DYS1	YHR068W	_	Yu H, et al. (2008)
82	EFG1	YGR271C-A		
83	EGD2	YHR193C		
84	EHD3	YDR036C		
85	ENO1	YGR254W	_	Wedekind JE, et al. (1994)
86	ENO2	YHR174W	_	Kornblatt MJ, et al. (2004)
87	ENP1	YBR247C	_	Grandi P, et al. (2002)
88	ERG1	YGR175C		
89	ERG10	YPL028W	_	Huang KY, et al. (2009)
90	ERG13	YML126C		
91	ERG7	YHR072W		
92	ESF2	YNR054C	_	Hoang T, et al. (2005)
93	ESS1	YJR017C		
94	ETT1	YOR051C		
95	EXO70	YJL085W	_	Hamburger ZA, et al. (2006)
96	FAA4	YMR246W	_	Babu M, et al. (2012)
97	FAS1	YKL182W	_	Babu M, et al. (2012)
98	FAS2	YPL231W	_	Johansson P, et al. (2008)
99	FBA1	YKL060C		
100	FIG4	YNL325C		
101	FLX1	YIL134W		
102	FPR1	YNL135C		
103	FPR3	YML074C		
104	FPR4	YLR449W	_	Edlich-Muth C, et al. (2015)
105	FTH1	YBR207W	_	Tarassov K, et al. (2008)
106	FUN12	YAL035W		
107	FUN30	YAL019W	_	Awad S, et al. (2010)
108	GAS1	YMR307W		
109	GCD10	YNL062C		
110	GCD7	YLR291C	_	Yu H, et al. (2008) 
111	GDH1	YOR375C	_	Huang KY, et al. (2009)
112	GIS1	YDR096W	_	Quan Z, et al. (2011)
113	GLO3	YER122C		
114	GMH1	YKR030W		
115	GND1	YHR183W	_	He W, et al. (2007)
116	GNP1	YDR508C		
117	GPB1	YOR371C		
118	GPP1	YIL053W		
119	GRS1	YBR121C		
