MATa orf_name	MATa gene_name	MATa type	MATalpha orf_name	MATalpha_gene_name	MATalpha type	intensity	z-score	PPV%
YDR100W	TVP15	0	YDR264C	AKR1	0	44376	3.20166	99
YBR106W	PHO88	0	YDL128W	VCX1	3	35955	3.20173	99
YEL063C	CAN1	3	YOR153W	PDR5	0	38030	3.20223	99
YJL151C	SNA3	0	YIR038C	GTT1	0	32688	3.20241	99
YNL283C	WSC2	0	YBR052C	RFS1	0	40585	3.20296	99
YIL121W	QDR2	0	YBL029C-A	YBL029C-A	0	32543	3.20316	99
YJL153C	INO1	0	YGL125W	MET13	2	42273	3.2037	99
YGL203C	KEX1	0	YPL221W	FLC1	0	30427	3.20372	99
YAR002C-A	ERP1	0	YOL005C	RPB11	0	34415	3.20398	99
YDL222C	FMP45	0	YKL051W	SFK1	0	45225	3.20399	99
YIL009W	FAA3	0	YML086C	ALO1	0	38704	3.20439	99
YKL054C	DEF1	0	YLR438C-A	LSM3	0	35819	3.20465	99
YML055W	SPC2	0	YBR106W	PHO88	0	26249	3.20474	99
YHR094C	HXT1	0	YML072C	TCB3	0	46239	3.20508	99
YOL078W	AVO1	0	YJL124C	LSM1	1	24538	3.20547	99
YGR060W	ERG25	0	YJL097W	PHS1	3	44364	3.20603	99
YJR118C	ILM1	0	YER026C	CHO1	3	28343	3.20609	99
YOR016C	ERP4	0	YHR181W	SVP26	3	21712	3.2063	99
YPL186C	UIP4	0	YOL147C	PEX11	0	22870	3.20662	99
YHR007C	ERG11	0	YPL145C	KES1	0	54815	3.20756	99
YHR052W	CIC1	0	YNL002C	RLP7	0	21572	3.20808	99
YNL007C	SIS1	0	YMR120C	ADE17	0	22112	3.20887	99
YGR284C	ERV29	0	YAR002C-A	ERP1	0	52623	3.20946	99
YBR207W	FTH1	0	YEL051W	VMA8	0	43329	3.20972	99
YGL056C	SDS23	0	YML072C	TCB3	0	31038	3.20988	99
YCR028C-A	RIM1	0	YPL058C	PDR12	0	50014	3.21012	99
YDR141C	DOP1	0	YHR094C	HXT1	0	36374	3.21023	99
YPR066W	UBA3	0	YHR080C	YHR080C	1	21219	3.21056	99
YDR141C	DOP1	0	YMR010W	YMR010W	0	36390	3.21087	99
YPL170W	DAP1	0	YCL025C	AGP1	3	33513	3.21134	99
YMR292W	GOT1	0	YAL007C	ERP2	3	32659	3.21221	99
YDL212W	SHR3	0	YDR233C	RTN1	3	45717	3.21226	99
YBR034C	HMT1	0	YHR080C	YHR080C	1	22192	3.21236	99
YKL140W	TGL1	0	YBR002C	RER2	0	27230	3.21247	99
YOR327C	SNC2	0	YER043C	SAH1	2	42922	3.21265	99
YMR159C	ATG16	0	YMR159C	ATG16	0	21565	3.21267	99
YDR331W	GPI8	0	YEL063C	CAN1	3	28250	3.21348	99
YBR106W	PHO88	0	YHR094C	HXT1	0	36255	3.21349	99
YDL222C	FMP45	0	YER020W	GPA2	0	45579	3.21353	99
YLR450W	HMG2	0	YEL017C-A	PMP2	3	33869	3.21359	99
YDL160C	DHH1	0	YCL037C	SRO9	0	59959	3.21392	99
YDL135C	RDI1	0	YJL026W	RNR2	2	36497	3.21442	99
YLR337C	VRP1	0	YHR080C	YHR080C	1	20660	3.21449	99
YHR096C	HXT5	0	YBR086C	IST2	3	32563	3.2146	99
YER100W	UBC6	0	YHR080C	YHR080C	1	21889	3.21462	99
YOR323C	PRO2	0	YGL137W	SEC27	0	26238	3.21481	99
YBR106W	PHO88	0	YDR508C	GNP1	3	36295	3.21505	99
YBR164C	ARL1	0	YEL017C-A	PMP2	3	54663	3.2155	99
YPR131C	NAT3	0	YMR128W	ECM16	0	22633	3.21561	99
YIR026C	YVH1	0	YPL058C	PDR12	0	59440	3.21566	99
YML012W	ERV25	0	YML048W	GSF2	3	35482	3.2157	99
YBR207W	FTH1	0	YKR007W	MEH1	0	43551	3.21607	99
YER020W	GPA2	0	YNL283C	WSC2	0	45909	3.2169	99
YCR028C-A	RIM1	0	YLR413W	YLR413W	0	50288	3.21692	99
YLR028C	ADE16	0	YBR011C	IPP1	2	29979	3.21697	99
YGL195W	GCN1	0	YBR011C	IPP1	2	28726	3.21723	99
YMR105C	PGM2	0	YOR332W	VMA4	2	45236	3.21733	99
YJR010C-A	SPC1	0	YAR002C-A	ERP1	0	25209	3.21733	99
YER068W	MOT2	0	YNL091W	NST1	0	35690	3.2174	99
YDR011W	SNQ2	0	YJL002C	OST1	3	69149	3.21762	99
YKR039W	GAP1	3	YHR039C	MSC7	0	57409	3.2178	99
YDR170C	SEC7	0	YPL221W	FLC1	0	20090	3.21786	99
YIL033C	BCY1	0	YIL033C	BCY1	0	83050	3.21788	99
YMR105C	PGM2	0	YHR179W	OYE2	2	45259	3.2179	99
YOR057W	SGT1	0	YJL026W	RNR2	2	37992	3.21803	99
YER090W	TRP2	0	YJL026W	RNR2	2	36632	3.21805	99
YNL255C	GIS2	0	YNL255C	GIS2	0	84043	3.21806	99
YML016C	PPZ1	0	YEL017C-A	PMP2	3	39836	3.2182	99
YCR028C-A	RIM1	0	YDR276C	PMP3	3	50355	3.21858	99
YGL001C	ERG26	0	YAR002C-A	ERP1	0	35026	3.21877	99
YKL051W	SFK1	0	YPR138C	MEP3	0	33488	3.21891	99
YNL117W	MLS1	2	YNL117W	MLS1	2	35375	3.2192	99
YNL110C	NOP15	0	YHR052W	CIC1	0	29542	3.21935	99
YDR032C	PST2	0	YDR342C	HXT7	3	49747	3.21957	99
YIL043C	CBR1	0	YML123C	PHO84	3	28212	3.21958	99
YJR010C-A	SPC1	0	YGL225W	VRG4	3	25246	3.21981	99
YLL028W	TPO1	0	YLR332W	MID2	0	52702	3.22028	99
YGR020C	VMA7	0	YER070W	RNR1	2	27787	3.22048	99
YGL203C	KEX1	0	YDR264C	AKR1	0	30752	3.22049	99
YML001W	YPT7	0	YER070W	RNR1	2	23354	3.22054	99
YEL002C	WBP1	0	YAR002C-A	ERP1	0	48043	3.22065	99
YKL051W	SFK1	0	YGL108C	YGL108C	0	33530	3.2207	99
YBR150C	TBS1	0	YHR080C	YHR080C	1	21171	3.22071	99
YML055W	SPC2	0	YER053C-A	YER053C-A	3	26521	3.22164	99
YHR146W	CRP1	3	YER026C	CHO1	3	49143	3.22246	99
YGL203C	KEX1	0	YJL053W	PEP8	0	30791	3.2225	99
YGR060W	ERG25	0	YBR283C	SSH1	0	44866	3.22266	99
YOR316C	COT1	0	YHR094C	HXT1	0	35136	3.22274	99
YJR060W	CBF1	0	YJR060W	CBF1	0	57845	3.22307	99
YNL238W	KEX2	0	YBR023C	CHS3	0	24904	3.22314	99
YNL243W	SLA2	0	YBL007C	SLA1	0	38369	3.2233	99
YOL077C	BRX1	0	YBR296C-A	YBR296C-A	0	27947	3.22356	99
YML072C	TCB3	0	YEL017C-A	PMP2	3	28194	3.22366	99
YNL154C	YCK2	0	YDR276C	PMP3	3	29841	3.22384	99
YER057C	HMF1	0	YJL148W	RPA34	0	27492	3.2242	99
YIL043C	CBR1	0	YAR002C-A	ERP1	0	28297	3.22434	99
YFL048C	EMP47	0	YHR146W	CRP1	3	24676	3.22437	99
YPR040W	TIP41	0	YFR040W	SAP155	0	38037	3.22456	99
YIL034C	CAP2	0	YGR155W	CYS4	2	54793	3.22501	99
YKR039W	GAP1	3	YJL192C	SOP4	0	57800	3.22557	99
YBR106W	PHO88	0	YJR118C	ILM1	0	36570	3.22573	99
YNL098C	RAS2	0	YJL026W	RNR2	2	42108	3.22592	99
YHR089C	GAR1	0	YOR298C-A	MBF1	2	54883	3.22636	99
YDR272W	GLO2	0	YER070W	RNR1	2	38699	3.22637	99
YML012W	ERV25	0	YPL274W	SAM3	3	35777	3.22655	99
YIR038C	GTT1	0	YJL002C	OST1	3	49988	3.22657	99
YLR350W	ORM2	0	YJL196C	ELO1	3	64076	3.2266	99
YOR276W	CAF20	0	YPR035W	GLN1	2	33553	3.22668	99
YMR272C	SCS7	0	YBR106W	PHO88	0	42063	3.22678	99
YDR011W	SNQ2	0	YLL028W	TPO1	0	69718	3.22733	99
YGL053W	PRM8	0	YER026C	CHO1	3	33052	3.22749	99
YKL067W	YNK1	0	YER043C	SAH1	2	27633	3.22752	99
YJL117W	PHO86	0	YMR134W	YMR134W	0	35765	3.22754	99
YLR121C	YPS3	0	YHR080C	YHR080C	1	24256	3.22773	99
YGL084C	GUP1	0	YHR039C	MSC7	0	25123	3.22842	99
YOR054C	VHS3	0	YBR106W	PHO88	0	34986	3.22861	99
YDR497C	ITR1	0	YHR146W	CRP1	3	30514	3.22864	99
YDR293C	SSD1	0	YGR054W	YGR054W	0	48375	3.22913	99
YMR149W	SWP1	0	YKL207W	YKL207W	3	35557	3.22941	99
YER044C	ERG28	0	YER026C	CHO1	3	24742	3.22951	99
YDR170C	SEC7	0	YPR075C	OPY2	0	20237	3.22966	99
YHR123W	EPT1	0	YJL002C	OST1	3	42189	3.23022	99
YOR132W	VPS17	0	YMR004W	MVP1	0	23152	3.23022	99
YGR284C	ERV29	0	YHR007C	ERG11	0	53653	3.2309	99
YOL119C	MCH4	0	YCL025C	AGP1	3	32496	3.23093	99
YLL028W	TPO1	0	YHR096C	HXT5	0	53261	3.2317	99
YOR327C	SNC2	0	YGL202W	ARO8	2	43622	3.23181	99
YER112W	LSM4	0	YGL014W	PUF4	0	38071	3.23197	99
YML086C	ALO1	0	YIR038C	GTT1	0	39063	3.23231	99
YOR206W	NOC2	0	YOR206W	NOC2	0	20035	3.23242	99
YGR229C	SMI1	0	YOR332W	VMA4	2	52094	3.23257	99
YGL195W	GCN1	0	YFL014W	HSP12	2	29079	3.23315	99
YKR039W	GAP1	3	YML012W	ERV25	0	58193	3.23333	99
YOL105C	WSC3	0	YER020W	GPA2	0	38726	3.2336	99
YDL222C	FMP45	0	YML072C	TCB3	0	46337	3.2337	99
YML012W	ERV25	0	YPR028W	YOP1	3	35978	3.23389	99
YDR100W	TVP15	0	YOR069W	VPS5	0	45530	3.23405	99
YBR023C	CHS3	0	YPL221W	FLC1	0	41192	3.23428	99
YDL069C	CBS1	0	YHR080C	YHR080C	1	25786	3.23433	99
YIL034C	CAP2	0	YNL138W	SRV2	0	55291	3.23496	99
YJL151C	SNA3	0	YPR035W	GLN1	2	33426	3.23501	99
YER123W	YCK3	0	YHR146W	CRP1	3	31346	3.23503	99
YGR060W	ERG25	0	YHR007C	ERG11	0	45245	3.23509	99
YMR149W	SWP1	0	YCR043C	YCR043C	0	35719	3.23559	99
YGL014W	PUF4	0	YCR093W	CDC39	0	32769	3.23572	99
YOR362C	PRE10	0	YJL026W	RNR2	2	27154	3.23578	99
YBL033C	RIB1	0	YGL202W	ARO8	2	24091	3.23588	99
YJR033C	RAV1	0	YEL051W	VMA8	0	24874	3.23594	99
YGL056C	SDS23	0	YIL121W	QDR2	0	31554	3.23598	99
YHR089C	GAR1	0	YOR206W	NOC2	0	55346	3.23616	99
YLR389C	STE23	0	YLR389C	STE23	0	22650	3.23629	99
YFL062W	COS4	0	YIL090W	ICE2	3	28358	3.23639	99
YDR192C	NUP42	0	YOR046C	DBP5	1	32755	3.23653	99
