"gene"	"DMSO1"	"DMSO2"	"DMSO3"	"MTX1"	"MTX2"	"MTX3"
"YEL067C"	0	4	0	0	0	0
"YEL068C"	150	121	108	137	235	129
"YEL069C"	0	0	0	0	0	0
"YEL070W"	0	0	0	0	0	0
"YEL071W"	249	245	170	626	700	538
"YEL072W"	79	43	42	115	90	139
"YEL073C"	10	5	0	8	6	9
"YEL074W"	4	1	0	8	0	0
"YEL075C"	0	0	0	0	0	0
"YEL075W-A"	0	0	0	0	0	0
"YEL076C"	0	0	0	0	0	0
"YEL076C-A"	0	0	0	0	0	0
"YEL077C"	2	2	1	6	5	4
"YEL077W-A"	0	0	0	0	0	0
"YER001W"	184	126	100	418	482	367
"YER002W"	374	329	161	274	307	273
"YER003C"	5312	4797	2754	1951	2347	2167
"YER004W"	2339	1953	1580	5477	6792	4115
"YER005W"	151	198	94	187	141	235
"YER006C-A"	2	1	2	25	40	14
"YER006W"	364	335	157	288	296	205
"YER007C-A"	553	543	373	561	454	764
"YER007W"	30	53	18	93	104	72
"YER008C"	332	279	178	537	404	378
"YER009W"	4002	3989	2914	2536	2900	3722
"YER010C"	160	239	132	252	236	172
"YER011W"	8	19	23	24	32	7
"YER012W"	1279	1036	758	1162	1499	1411
"YER013W"	97	67	51	196	178	106
"YER014C-A"	1	4	1	1	3	1
"YER014W"	98	65	48	121	162	189
"YER015W"	107	64	20	544	338	487
"YER016W"	65	45	36	15	19	22
"YER017C"	276	207	156	558	553	407
"YER018C"	556	561	492	702	936	675
"YER019C-A"	3781	4019	3486	9813	10923	9847
"YER019W"	490	480	331	1883	2202	1874
"YER020W"	229	240	110	558	700	641
"YER021W"	968	914	476	480	465	450
"YER022W"	170	203	102	173	141	167
"YER023C-A"	0	0	0	0	0	0
"YER023W"	6325	6672	4798	7687	8316	5891
"YER024W"	94	49	44	238	332	584
"YER025W"	1636	1462	947	953	1137	1168
"YER026C"	2316	2319	1232	1284	1366	897
"YER027C"	292	312	251	251	240	242
"YER028C"	4	9	10	5	5	19
"YER029C"	490	564	323	663	726	510
"YER030W"	1133	945	570	1184	879	760
"YER031C"	1179	1070	976	648	682	712
"YER032W"	71	81	56	81	76	58
"YER033C"	251	229	173	376	290	356
"YER034W"	11	5	7	14	10	16
"YER035W"	692	537	393	499	850	757
"YER036C"	3240	3136	1719	2408	2684	1512
"YER037W"	142	116	83	1316	1259	560
"YER038C"	29	16	18	122	94	76
"YER038W-A"	1	0	0	0	1	0
"YER039C"	91	95	92	294	318	239
"YER039C-A"	8	1	7	0	0	0
"YER040W"	283	276	176	399	411	290
"YER041W"	25	15	9	20	24	28
"YER042W"	488	424	300	534	561	661
"YER043C"	4932	4620	2345	3071	2787	4281
"YER044C"	512	539	394	542	625	826
"YER044C-A"	0	0	0	3	4	2
"YER045C"	111	102	60	2057	2624	1281
"YER046W"	126	100	80	443	506	604
"YER046W-A"	5	7	2	91	108	28
"YER047C"	115	76	23	131	56	69
"YER048C"	606	512	331	449	451	443
"YER048W-A"	704	669	561	1129	1339	1122
"YER049W"	361	347	166	261	258	253
"YER050C"	517	369	480	499	540	539
"YER051W"	79	69	40	104	115	78
"YER052C"	711	599	292	903	817	294
"YER053C"	1247	1002	563	2320	3074	4615
"YER053C-A"	49	16	16	26	23	41
"YER054C"	61	37	14	48	66	107
"YER055C"	4486	4010	2076	1314	1448	1143
"YER056C"	1020	855	590	3957	2768	2368
"YER056C-A"	4266	3927	2764	1207	1148	1549
"YER057C"	3460	3468	2987	5337	5503	4192
"YER058W"	101	124	72	143	167	131
"YER059W"	311	270	172	333	305	298
"YER060W"	23	27	19	8	7	9
"YER060W-A"	3	4	4	0	0	0
"YER061C"	56	65	23	175	156	464
"YER062C"	241	240	185	519	223	277
"YER063W"	1224	1331	833	856	1144	845
"YER064C"	1277	1127	784	1233	821	512
"YER065C"	137	137	84	434	456	712
"YER066C-A"	0	2	0	6	7	2
"YER066W"	44	30	13	86	114	114
"YER067C-A"	0	1	0	0	0	0
"YER067W"	2104	1762	528	2234	4005	4883
"YER068C-A"	0	0	0	0	2	1
"YER068W"	468	434	275	775	885	421
"YER069W"	713	682	98	737	688	444
"YER070W"	1481	1464	771	3914	4215	3220
"YER071C"	348	306	189	188	240	261
"YER072W"	3735	4100	3027	5045	5665	7802
"YER073W"	798	699	277	947	705	919
"YER074W"	15736	18062	12984	6495	6292	6402
"YER074W-A"	746	638	423	506	712	821
"YER075C"	135	96	86	185	216	114
"YER076C"	82	46	25	87	109	120
"YER076W-A"	3	9	5	16	18	27
"YER077C"	58	37	44	67	56	41
"YER078C"	124	63	78	182	159	182
"YER078W-A"	17	10	13	20	22	14
"YER079C-A"	0	0	0	0	0	0
"YER079W"	567	437	195	1130	1265	1217
"YER080W"	226	119	132	287	337	293
"YER081W"	405	292	183	441	514	588
"YER082C"	82	59	33	49	63	38
"YER083C"	805	716	526	748	794	839
"YER084W"	22	21	11	46	73	62
"YER084W-A"	19	21	38	222	294	113
"YER085C"	0	0	0	0	0	1
"YER086W"	269	235	110	787	629	649
"YER087C-A"	5	5	2	17	8	6
"YER087C-B"	2449	2747	2152	2674	2746	1833
"YER087W"	62	22	17	37	52	51
"YER088C"	1315	1232	749	2635	2797	1338
"YER088C-A"	0	2	0	0	0	1
"YER088W-B"	18	15	11	28	32	20
"YER089C"	270	141	80	106	120	114
"YER090C-A"	0	0	0	0	0	0
"YER090W"	1208	1118	602	1161	1320	1274
"YER091C"	5671	4629	2471	14153	15935	8073
"YER091C-A"	7	10	2	0	11	9
"YER092W"	84	100	30	186	117	216
"YER093C"	103	75	33	99	100	91
"YER093C-A"	218	211	203	313	411	293
"YER094C"	753	672	493	878	953	1086
"YER095W"	1556	1405	1142	6531	7328	5748
"YER096W"	12	11	7	57	67	53
"YER097W"	15	9	2	0	0	0
"YER098W"	46	19	36	40	83	59
"YER099C"	534	709	261	555	600	1161
"YER100W"	390	336	186	450	481	390
"YER101C"	101	89	51	103	106	137
"YER102W"	8552	9606	6737	5717	5916	4194
"YER103W"	202	177	82	264	351	272
"YER104W"	71	85	54	191	242	277
"YER105C"	473	398	307	559	584	458
"YER106W"	2	0	0	0	1	2
"YER107C"	391	410	283	372	434	295
"YER107W-A"	0	1	0	5	3	1
"YER110C"	732	766	380	957	924	990
"YER111C"	33	23	12	43	43	19
"YER112W"	1049	973	459	789	937	787
"YER113C"	58	30	20	16	57	24
"YER114C"	260	226	132	198	208	224
"YER115C"	287	254	172	517	570	445
"YER116C"	17	7	3	26	19	34
"YER117W"	15233	17719	16517	7840	8688	6812
"YER118C"	55	42	31	46	60	52
"YER119C"	159	112	86	253	338	333
"YER119C-A"	0	0	0	1	0	0
"YER120W"	11568	10115	7007	15593	12735	7116
"YER121W"	37	32	17	62	49	97
"YER122C"	558	582	363	357	491	537
"YER123W"	264	198	183	290	373	326
"YER124C"	806	698	407	154	217	117
"YER125W"	592	532	276	615	665	387
"YER126C"	336	338	216	495	409	381
"YER127W"	186	160	87	150	107	125
"YER128W"	59	81	42	64	78	96
"YER129W"	192	147	68	167	128	137
"YER130C"	145	115	46	159	149	85
"YER131W"	6564	6470	4500	1799	1839	1803
"YER132C"	83	70	43	127	142	143
"YER133W"	308	297	153	174	144	141
"YER133W-A"	0	0	2	3	3	0
"YER134C"	267	284	172	352	426	346
"YER135C"	0	0	0	2	1	3
"YER136W"	468	400	314	403	520	548
"YER137C"	47	37	29	37	26	52
"YER137W-A"	0	0	0	0	0	0
"YER138W-A"	0	0	1	3	4	0
"YER139C"	33	16	18	29	45	71
"YER140W"	12	8	4	68	70	53
"YER141W"	138	93	45	74	80	56
"YER142C"	152	97	62	239	241	307
"YER143W"	684	737	395	1868	2078	907
"YER144C"	246	230	180	386	375	379
"YER145C"	247	166	145	299	393	186
"YER145C-A"	0	4	11	2	2	1
"YER146W"	445	376	236	221	188	229
"YER147C"	50	50	29	108	77	122
"YER147C-A"	0	0	0	0	0	0
"YER148W"	254	276	133	114	111	97
"YER148W-A"	1	13	3	3	8	0
"YER149C"	88	75	50	187	44	126
"YER150W"	2275	1047	394	273	459	409
"YER151C"	232	195	67	408	222	699
"YER152C"	500	401	353	613	642	674
"YER152W-A"	0	0	0	0	0	0
"YER153C"	1	3	0	0	2	0
"YER154W"	101	103	53	58	67	77
"YER155C"	566	543	231	775	1100	615
"YER156C"	1102	1036	528	407	435	456
"YER157W"	150	127	79	112	74	87
"YER158C"	222	213	132	639	801	460
"YER158W-A"	136	106	35	14	9	9
"YER159C"	431	363	285	821	797	1351
"YER161C"	551	493	325	620	768	640
"YER162C"	69	52	18	42	45	72
"YER163C"	308	295	238	308	326	500
"YER164W"	277	267	166	536	662	291
"YER165C-A"	0	0	0	0	0	0
"YER165W"	3231	2445	1481	2765	3003	1660
"YER166W"	213	160	76	200	231	205
"YER167W"	170	145	85	207	182	213
"YER168C"	137	92	56	104	93	140
"YER169W"	321	290	168	830	910	850
"YER170W"	57	72	25	38	28	22
"YER171W"	138	94	93	153	183	113
"YER172C"	256	241	131	288	321	262
"YER172C-A"	0	0	0	0	0	0
"YER173W"	50	51	18	42	60	66
"YER174C"	532	614	266	402	588	147
"YER175C"	210	256	91	608	702	644
"YER175W-A"	8	1	0	14	6	5
"YER176W"	136	98	100	229	207	250
"YER177W"	7457	7599	5541	5814	6415	7213
"YER178W"	4326	3896	2708	6177	6114	4872
"YER179W"	17	19	4	39	44	30
"YER180C"	128	152	123	367	416	287
"YER180C-A"	5	5	4	0	1	3
"YER181C"	15	0	1	3	6	1
"YER182W"	194	123	50	220	287	219
"YER183C"	375	316	160	309	327	313
"YER184C"	48	23	18	68	94	59
"YER185W"	19	27	22	65	87	63
"YER186C"	158	128	77	302	552	665
"YER187W"	24	13	8	10	17	52
"YER188C-A"	8	6	8	17	12	15
"YER188W"	2	0	1	1	4	3
"YER189W"	0	0	0	0	0	0
"YER190C-A"	0	0	0	0	0	0
"YER190C-B"	0	0	0	0	0	0
"YER190W"	0	0	0	0	0	0
"YFL001W"	98	79	36	35	52	65
"YFL002C"	154	140	64	286	330	513
"YFL003C"	11	5	8	12	26	16
"YFL004W"	963	996	550	1010	1205	1081
"YFL005W"	1051	850	673	842	1002	659
"YFL007W"	361	279	199	450	491	751
"YFL008W"	190	141	91	233	234	286
"YFL009W"	251	211	137	151	167	283
"YFL010C"	2453	2126	1227	1814	1793	1992
"YFL010W-A"	22	13	12	6	15	15
"YFL011W"	1	0	1	1	5	3
"YFL012W"	0	1	0	1	0	11
"YFL012W-A"	0	0	0	0	0	0
"YFL013C"	115	112	67	103	128	69
"YFL013W-A"	0	1	3	0	3	0
"YFL014W"	15451	11446	6749	9836	12228	11422
"YFL015C"	1	0	0	0	9	2
"YFL015W-A"	2	0	0	1	0	0
"YFL016C"	261	192	128	289	339	283
"YFL017C"	388	328	198	199	248	119
"YFL017W-A"	836	675	402	576	674	298
"YFL018C"	2886	2598	1326	3600	2918	5439
"YFL019C"	4	0	0	0	1	1
"YFL020C"	0	0	3	0	0	0
"YFL021C-A"	5	7	3	6	5	5
"YFL021W"	691	569	393	1695	1657	1545
"YFL022C"	1937	1710	1043	1442	1511	1523
"YFL023W"	129	125	82	190	158	181
"YFL024C"	57	62	39	72	49	64
"YFL025C"	39	30	13	21	18	29
"YFL026W"	24	64	20	152	163	98
"YFL027C"	90	98	33	66	102	94
"YFL028C"	258	225	131	276	213	299
"YFL029C"	58	49	26	62	87	35
"YFL030W"	82	101	36	690	885	304
"YFL031C-A"	0	0	0	0	0	1
"YFL031W"	15610	14624	6662	14865	17832	7051
"YFL032W"	0	0	0	0	3	0
"YFL033C"	228	171	145	181	169	153
"YFL034C-A"	582	533	314	613	561	538
"YFL034C-B"	186	150	87	108	95	113
"YFL034W"	194	181	101	318	301	229
"YFL036W"	566	488	294	567	822	522
"YFL037W"	1071	854	469	406	403	519
"YFL038C"	2243	1676	993	2243	1917	2329
"YFL039C"	45929	44400	29048	43054	49046	37879
"YFL040W"	0	0	0	1	0	2
"YFL041W"	72	47	41	65	62	89
"YFL041W-A"	82	47	57	126	134	189
"YFL042C"	271	242	176	548	734	841
"YFL044C"	66	83	49	59	66	63
"YFL045C"	8437	8864	7151	6299	6921	4131
"YFL046W"	197	198	103	226	270	262
"YFL047W"	120	103	75	107	102	83
"YFL048C"	118	84	54	74	98	141
"YFL049W"	130	115	41	100	96	98
"YFL050C"	19	8	25	76	89	44
"YFL051C"	4	0	0	0	0	0
"YFL052W"	30	29	24	0	3	2
"YFL053W"	0	0	2	6	4	4
"YFL054C"	109	68	49	236	312	175
"YFL055W"	7	9	7	3	26	5
"YFL058W"	0	0	0	3	1	3
"YFL059W"	0	0	0	0	1	0
"YFL060C"	0	0	0	0	0	0
"YFL061W"	0	0	0	0	0	0
"YFL062W"	0	0	0	0	0	0
"YFL063W"	0	1	0	6	1	3
"YFL064C"	0	0	0	0	0	0
"YFL065C"	0	0	0	0	0	0
"YFL066C"	0	0	0	0	0	0
"YFL067W"	0	0	0	0	0	0
"YFL068W"	0	0	0	0	0	0
"YFR001W"	249	211	147	359	353	333
"YFR002W"	507	481	267	371	379	394
"YFR003C"	259	294	180	331	452	416
"YFR004W"	1701	1261	626	1125	1405	1299
"YFR005C"	240	225	145	215	221	130
"YFR006W"	374	298	166	149	178	152
"YFR007W"	106	68	69	107	177	118
"YFR008W"	51	64	33	100	102	88
"YFR009W"	609	547	353	434	503	739
"YFR009W-A"	0	0	0	0	0	0
"YFR010W"	918	709	421	709	885	697
"YFR010W-A"	2	1	0	0	5	0
"YFR011C"	161	182	54	140	165	276
"YFR012W"	6	3	2	0	0	1
"YFR012W-A"	0	0	0	0	4	2
"YFR013W"	124	141	74	123	142	170
"YFR014C"	558	461	269	740	1009	769
"YFR015C"	825	525	313	397	353	339
"YFR016C"	264	205	131	704	735	505
"YFR017C"	953	743	419	3673	4668	3251
"YFR018C"	109	99	87	426	368	374
"YFR019W"	395	425	200	760	1017	953
"YFR020W"	46	28	29	160	204	158
"YFR021W"	229	239	188	430	514	607
"YFR022W"	76	83	64	235	285	169
"YFR023W"	10	6	3	95	107	87
"YFR024C-A"	913	760	443	1415	1615	693
"YFR025C"	270	226	228	255	355	270
"YFR026C"	28	20	11	65	91	52
"YFR027W"	30	23	23	5	18	18
"YFR028C"	188	173	89	103	108	34
"YFR029W"	104	81	85	275	303	217
"YFR030W"	1396	1311	803	885	871	973
"YFR031C"	284	189	131	467	516	588
"YFR031C-A"	13810	10604	6803	4664	4743	6786
"YFR032C"	7	4	3	17	0	2
"YFR032C-A"	19246	18012	16099	9133	9448	6972
"YFR032C-B"	9	6	2	3	3	1
"YFR033C"	4037	4360	2285	9271	9687	11854
"YFR034C"	26	10	7	4	3	16
"YFR034W-A"	33	25	9	49	22	34
"YFR035C"	3	11	2	6	3	1
"YFR036W"	70	62	42	119	145	141
"YFR036W-A"	0	0	0	0	0	0
"YFR037C"	520	416	266	355	293	309
"YFR038W"	285	247	108	303	224	262
"YFR039C"	72	48	20	30	34	54
"YFR040W"	397	284	150	766	930	475
"YFR041C"	32	29	6	15	24	8
"YFR042W"	76	73	62	52	59	77
"YFR043C"	99	76	63	151	182	110
"YFR044C"	3193	2770	1557	1802	1874	4539
"YFR045W"	327	187	156	505	575	348
"YFR046C"	32	44	30	32	31	67
"YFR047C"	1072	961	699	3169	3056	1950
"YFR048W"	264	243	103	362	410	321
"YFR049W"	264	283	201	773	965	1086
"YFR050C"	1062	1021	801	1012	1128	1131
"YFR051C"	806	654	379	478	441	639
"YFR052C-A"	1	4	2	0	3	0
"YFR052W"	351	325	211	285	350	304
"YFR053C"	399	189	49	61	70	72
"YFR054C"	0	0	0	3	1	0
"YFR055W"	147	136	48	165	105	106
"YFR056C"	0	0	0	4	9	5
"YFR057W"	0	0	0	0	0	0
"YGL001C"	904	1310	579	731	700	706
"YGL002W"	290	269	146	400	507	259
"YGL003C"	183	95	79	177	190	244
"YGL004C"	283	241	170	552	592	469
"YGL005C"	200	124	101	284	342	275
"YGL006W"	436	287	175	577	730	650
"YGL006W-A"	0	0	1	0	0	0
"YGL007C-A"	23	35	10	72	97	109
"YGL007W"	2	0	0	1	0	0
"YGL008C"	4105	3990	2608	8087	7995	2856
"YGL009C"	3153	3010	1504	18329	18834	18452
"YGL010W"	72	55	27	28	54	53
"YGL011C"	1009	896	619	804	995	810
"YGL012W"	350	270	173	740	978	717
"YGL013C"	152	103	45	152	211	164
"YGL014C-A"	0	0	0	0	0	0
"YGL014W"	568	397	276	485	488	341
"YGL015C"	3	3	2	0	1	6
"YGL016W"	87	95	33	69	40	33
"YGL017W"	111	117	64	153	125	140
"YGL018C"	44	51	29	59	68	76
"YGL019W"	1835	1653	939	1790	2084	1666
"YGL020C"	241	148	53	109	115	184
"YGL021W"	155	116	69	73	86	76
"YGL022W"	101	135	42	150	150	188
"YGL023C"	155	114	82	119	134	78
"YGL024W"	1	14	6	18	18	10
"YGL025C"	348	378	225	582	715	426
"YGL026C"	3004	2402	1346	2742	2637	4168
"YGL027C"	30	35	23	94	59	116
"YGL028C"	324	281	185	201	233	142
"YGL029W"	162	154	88	314	324	205
"YGL030W"	25276	25609	18478	8698	9914	8798
"YGL031C"	23058	24759	19393	13868	16075	8122
"YGL032C"	25	21	21	24	29	46
"YGL033W"	12	7	9	83	117	90
"YGL034C"	1	0	8	0	0	0
"YGL035C"	60	71	48	178	146	69
"YGL036W"	149	85	61	137	157	229
"YGL037C"	3094	2409	1884	2982	3070	3946
"YGL038C"	151	125	59	271	317	187
"YGL039W"	149	143	82	84	137	225
"YGL040C"	1122	910	557	675	787	859
"YGL041C"	0	0	0	0	0	0
"YGL041C-B"	9	6	5	33	7	20
"YGL041W-A"	351	287	208	496	570	589
"YGL042C"	8	6	4	4	4	5
"YGL043W"	611	620	395	962	1251	696
"YGL044C"	168	133	104	219	330	264
"YGL045W"	143	99	36	204	217	268
"YGL047W"	131	98	61	114	152	167
"YGL048C"	1900	1612	967	1229	1332	1903
"YGL049C"	288	217	150	199	218	190
"YGL050W"	32	46	27	71	72	77
"YGL051W"	0	1	0	0	0	0
"YGL052W"	36	18	13	67	101	98
"YGL053W"	27	28	7	6	7	11
"YGL054C"	204	171	80	45	47	56
"YGL055W"	760	430	289	1486	1444	1034
"YGL056C"	120	106	53	241	227	162
"YGL057C"	57	42	44	49	75	39
"YGL058W"	471	483	273	460	541	774
"YGL059W"	186	134	74	315	317	483
"YGL060W"	68	68	36	68	52	71
"YGL061C"	62	90	54	172	114	115
"YGL062W"	590	519	356	1856	2242	1924
"YGL063C-A"	0	0	0	0	0	0
"YGL063W"	15	17	14	53	52	24
"YGL064C"	62	79	44	79	113	80
"YGL065C"	115	110	43	76	84	78
"YGL066W"	235	212	122	318	376	256
"YGL067W"	354	313	191	310	360	309
"YGL068W"	1521	1455	1171	1043	1241	1290
"YGL069C"	0	2	6	0	1	2
"YGL070C"	151	147	130	145	149	180
"YGL071W"	127	128	106	187	210	196
"YGL072C"	149	189	142	408	615	332
"YGL073W"	256	193	117	297	278	300
"YGL074C"	0	1	0	0	0	1
"YGL075C"	0	2	3	0	0	0
"YGL076C"	17838	17445	9649	5346	5432	4524
"YGL077C"	309	264	180	245	374	300
"YGL078C"	427	508	222	280	325	284
"YGL079W"	79	89	56	192	299	367
"YGL080W"	655	610	470	729	831	557
"YGL081W"	8	6	3	18	5	12
"YGL082W"	273	223	169	379	370	264
"YGL083W"	108	131	93	122	160	144
"YGL084C"	76	50	32	52	72	78
"YGL085W"	59	62	24	42	52	62
"YGL086W"	280	209	88	215	235	316
"YGL087C"	714	544	511	964	1186	1038
"YGL088W"	470	443	212	94	104	250
"YGL089C"	0	1	0	0	4	4
"YGL090W"	20	6	9	22	32	30
"YGL091C"	231	243	150	237	245	383
"YGL092W"	456	427	282	305	398	314
"YGL093W"	189	137	91	249	250	158
"YGL094C"	103	57	25	104	125	73
"YGL095C"	358	327	164	279	369	323
"YGL096W"	66	44	17	170	172	89
"YGL097W"	768	746	356	278	340	490
"YGL098W"	560	468	267	424	479	422
"YGL099W"	169	108	71	34	56	55
"YGL100W"	376	358	210	344	402	409
"YGL101W"	1018	927	703	562	659	371
"YGL102C"	0	0	1	3	0	2
"YGL103W"	35621	35039	26221	22166	25306	20354
"YGL104C"	34	18	14	75	91	71
"YGL105W"	3469	3094	2007	1855	1768	2233
"YGL106W"	174	151	119	189	238	165
"YGL107C"	217	143	114	220	236	136
"YGL108C"	23	33	23	50	42	24
"YGL109W"	5	8	19	0	0	1
"YGL110C"	83	73	46	73	87	83
"YGL111W"	199	139	120	225	209	143
"YGL112C"	438	409	222	165	199	305
"YGL113W"	60	67	37	97	105	88
"YGL114W"	67	85	44	303	326	241
"YGL115W"	1304	1177	664	954	1173	1442
"YGL116W"	149	135	79	129	134	167
"YGL117W"	173	146	69	522	564	443
"YGL118C"	10	1	3	4	1	4
"YGL119W"	155	119	73	326	339	244
"YGL120C"	500	351	153	231	171	210
"YGL121C"	134	151	86	777	884	988
"YGL122C"	607	478	326	432	401	341
"YGL123C-A"	0	0	0	0	0	0
"YGL123W"	38490	34266	27254	7922	7764	7562
"YGL124C"	95	87	30	81	94	40
"YGL125W"	498	462	179	920	916	326
"YGL126W"	31	43	15	17	25	4
"YGL127C"	233	243	250	339	363	202
"YGL128C"	71	73	48	77	73	69
"YGL129C"	374	444	229	451	437	449
"YGL130W"	279	252	185	158	235	263
"YGL131C"	55	64	32	118	139	142
"YGL132W"	0	0	0	1	0	6
"YGL133W"	138	114	39	192	135	200
"YGL134W"	158	144	50	277	338	353
"YGL135W"	82684	81481	45105	30415	33683	22471
"YGL136C"	119	96	83	179	232	181
"YGL137W"	868	694	402	606	685	492
"YGL138C"	1	1	0	1	0	0
"YGL139W"	71	55	26	76	89	54
"YGL140C"	123	136	49	146	178	216
"YGL141W"	155	153	90	156	214	157
"YGL142C"	49	54	50	154	182	130
"YGL143C"	164	128	82	237	236	249
"YGL144C"	30	48	18	114	124	129
"YGL145W"	49	32	28	67	56	50
"YGL146C"	4	9	2	6	12	9
"YGL147C"	8642	8433	7353	738	781	954
"YGL148W"	2125	1943	1062	1160	954	1255
"YGL149W"	8	0	0	0	0	0
"YGL150C"	301	247	113	329	440	546
"YGL151W"	147	91	64	100	115	105
"YGL152C"	1	7	4	0	0	0
"YGL153W"	283	216	212	379	583	344
"YGL154C"	45	48	24	85	125	90
"YGL155W"	66	80	57	50	40	74
"YGL156W"	106	85	61	230	262	859
"YGL157W"	261	238	204	70	81	36
"YGL158W"	0	0	2	0	0	4
"YGL159W"	72	116	60	81	128	161
"YGL160W"	34	36	15	25	46	39
"YGL161C"	798	762	612	976	1141	917
"YGL162W"	33	18	23	24	28	55
"YGL163C"	78	66	21	123	139	141
"YGL164C"	34	44	20	23	29	41
"YGL165C"	1	5	2	2	1	2
"YGL166W"	163	148	103	340	420	247
"YGL167C"	264	154	97	275	380	317
"YGL168W"	0	0	0	0	0	0
"YGL169W"	78	60	39	74	87	101
"YGL170C"	3	5	6	7	11	31
"YGL171W"	126	101	63	113	106	56
"YGL172W"	218	252	159	112	116	185
"YGL173C"	914	890	557	643	873	701
"YGL174W"	69	40	43	99	150	62
"YGL175C"	9	4	1	0	2	0
"YGL176C"	167	186	159	514	527	262
"YGL177W"	0	0	0	0	0	0
"YGL178W"	146	73	90	569	533	489
"YGL179C"	85	74	48	93	101	80
"YGL180W"	23	7	3	28	30	26
"YGL181W"	262	217	186	258	341	384
"YGL182C"	3	2	5	0	0	0
"YGL183C"	1	1	0	0	2	3
"YGL184C"	29	20	5	41	56	48
"YGL185C"	122	117	64	79	122	135
"YGL186C"	184	173	87	597	640	605
"YGL187C"	681	522	235	674	570	730
"YGL188C"	10	12	14	40	64	58
"YGL188C-A"	0	0	0	0	0	0
"YGL189C"	18832	18864	14597	6102	6373	7567
"YGL190C"	365	332	236	443	453	389
"YGL191W"	3386	2704	1331	4516	5420	5005
"YGL192W"	41	40	20	54	69	59
"YGL193C"	24	27	16	68	52	28
"YGL194C"	33	17	13	8	10	11
"YGL194C-A"	126	135	109	115	132	129
"YGL195W"	389	308	166	296	306	280
"YGL196W"	447	480	221	373	378	401
"YGL197W"	311	264	170	399	368	375
"YGL198W"	1174	1071	656	1381	1233	1599
"YGL199C"	4	2	2	3	12	13
"YGL200C"	1978	1723	1275	2363	2861	1930
"YGL201C"	167	149	89	143	177	126
"YGL202W"	1930	1987	1039	1488	1515	1529
"YGL203C"	36	17	13	65	56	69
"YGL204C"	14	11	12	22	8	7
"YGL205W"	6	7	8	48	34	30
"YGL206C"	844	689	335	678	724	569
"YGL207W"	886	663	305	548	529	740
"YGL208W"	176	119	87	214	242	303
"YGL209W"	84	124	69	417	270	194
"YGL210W"	368	365	206	511	523	518
"YGL211W"	98	89	63	126	133	153
"YGL212W"	18	9	4	13	9	15
"YGL213C"	978	870	514	414	557	484
"YGL214W"	0	0	0	0	0	0
"YGL215W"	324	226	171	1080	1236	757
"YGL216W"	272	204	201	298	312	311
"YGL217C"	0	0	0	0	0	2
"YGL218W"	4	0	0	0	0	0
"YGL219C"	140	105	74	248	168	226
"YGL220W"	500	457	345	595	748	740
"YGL221C"	649	685	549	826	706	724
"YGL222C"	49	37	16	10	16	19
"YGL223C"	14	3	5	17	18	12
"YGL224C"	244	244	130	454	517	423
"YGL225W"	231	208	119	95	80	87
"YGL226C-A"	1978	2061	1267	1501	1574	3113
"YGL226W"	238	233	156	313	412	380
"YGL227W"	150	123	77	257	327	202
"YGL228W"	115	37	37	133	184	142
"YGL229C"	272	265	150	283	249	239
"YGL230C"	8	10	4	49	81	52
"YGL231C"	946	984	723	1445	1591	1930
"YGL232W"	317	314	193	138	204	339
"YGL233W"	108	131	64	106	71	81
"YGL234W"	3485	3271	1850	6788	7205	6616
"YGL235W"	0	0	0	0	0	0
"YGL236C"	159	141	108	163	213	106
"YGL237C"	146	103	94	212	203	176
"YGL238W"	423	356	149	250	278	456
"YGL239C"	0	0	0	0	0	1
"YGL240W"	8	6	5	0	2	2
"YGL241W"	165	133	65	121	89	143
"YGL242C"	441	486	300	376	420	386
"YGL243W"	64	43	55	72	85	74
"YGL244W"	504	426	181	281	316	146
"YGL245W"	3633	3191	2007	1683	1585	2022
"YGL246C"	228	282	178	326	368	441
"YGL247W"	112	100	57	112	150	121
"YGL248W"	191	159	116	179	178	334
"YGL249W"	0	1	5	6	7	5
"YGL250W"	360	388	226	587	656	466
"YGL251C"	21	6	7	5	4	7
"YGL252C"	304	238	186	319	183	383
"YGL253W"	8971	8913	5647	4743	4881	6325
"YGL254W"	28	39	12	42	75	74
"YGL255W"	70	69	39	352	326	276
"YGL256W"	130	145	81	273	354	239
"YGL257C"	79	56	35	118	147	136
"YGL258W"	3	1	0	0	4	3
"YGL258W-A"	0	0	0	0	0	1
"YGL259W"	0	0	0	0	1	3
"YGL260W"	0	0	0	0	0	0
"YGL261C"	0	0	0	4	1	2
"YGL262W"	0	0	0	1	3	8
"YGL263W"	2	0	0	22	21	39
"YGR001C"	1141	761	520	708	631	948
"YGR002C"	148	129	93	131	164	153
"YGR003W"	19	19	2	16	22	19
"YGR004W"	20	22	8	16	5	15
"YGR005C"	587	606	361	683	853	679
"YGR006W"	21	20	7	25	17	21
"YGR007W"	157	135	93	219	134	166
"YGR008C"	4544	3321	2012	3930	5057	4694
"YGR009C"	278	193	62	247	248	312
"YGR010W"	7	0	1	0	2	0
"YGR011W"	87	75	17	57	78	42
"YGR012W"	93	51	49	90	117	194
"YGR013W"	464	373	245	844	982	632
"YGR014W"	152	123	97	412	509	205
"YGR015C"	53	20	22	8	24	57
"YGR016W"	20	14	14	13	21	18
"YGR017W"	1365	1279	877	1227	1305	1445
"YGR018C"	20	3	13	78	60	65
"YGR019W"	569	492	249	1017	1334	1056
