"gene"	"DMSO1"	"DMSO2"	"DMSO3"	"MTX1"	"MTX2"	"MTX3"
"YAL034C-B"	0	0	0	0	1	2
"YAL034W-A"	33	48	21	49	37	47
"YAL035W"	3970	3279	1867	2707	2722	3684
"YAL036C"	258	261	139	302	262	170
"YAL037C-A"	2	1	3	20	4	5
"YAL037C-B"	0	0	0	0	0	4
"YAL037W"	7	13	13	35	69	147
"YAL038W"	43165	39037	19191	18251	17935	13142
"YAL039C"	528	415	271	1020	943	976
"YAL040C"	232	178	138	176	164	188
"YAL041W"	177	208	105	112	157	191
"YAL042C-A"	0	0	2	3	0	10
"YAL042W"	235	167	114	268	267	542
"YAL043C"	334	324	229	420	421	350
"YAL044C"	3870	4053	2418	4111	4001	7187
"YAL044W-A"	355	409	289	451	543	477
"YAL045C"	6	7	4	5	8	3
"YAL046C"	730	899	699	2162	2448	1503
"YAL047C"	44	26	22	44	61	98
"YAL047W-A"	4	2	1	8	6	1
"YAL048C"	3	3	5	1	1	2
"YAL049C"	846	872	557	1099	1485	1940
"YAL051W"	307	222	143	194	271	274
"YAL053W"	102	133	69	353	308	271
"YAL054C"	22	30	24	68	92	41
"YAL055W"	105	97	54	112	108	136
"YAL056C-A"	1	6	0	0	0	0
"YAL056W"	156	160	104	422	447	280
"YAL058W"	33	30	27	88	128	65
"YAL059C-A"	4	2	4	0	5	0
"YAL059W"	246	244	193	326	284	305
"YAL060W"	4323	3710	2215	10435	12512	9864
"YAL061W"	699	544	312	844	1240	1074
"YAL062W"	92	100	37	9594	10780	12377
"YAL063C"	0	0	0	0	0	0
"YAL063C-A"	2	0	0	0	1	1
"YAL064C-A"	0	0	0	0	0	0
"YAL064W"	0	0	0	0	0	1
"YAL064W-B"	0	0	0	0	0	0
"YAL065C"	0	0	0	5	4	4
"YAL066W"	0	0	0	0	0	0
"YAL067C"	1	0	4	22	28	30
"YAL067W-A"	0	0	0	0	0	0
"YAL068C"	0	0	0	0	0	0
"YAL068W-A"	0	0	0	0	0	0
"YAL069W"	0	0	0	0	0	0
"YAR002C-A"	2518	2199	1560	1608	1872	1752
"YAR002W"	606	647	321	518	574	561
"YAR003W"	122	108	101	180	145	162
"YAR007C"	325	254	116	325	336	365
"YAR008W"	232	242	165	504	476	324
"YAR014C"	268	358	135	377	400	417
"YAR015W"	2586	2475	1267	6052	5925	6116
"YAR018C"	115	74	55	99	113	157
"YAR019C"	82	60	41	81	84	115
"YAR019W-A"	1	0	0	0	0	0
"YAR020C"	0	1	0	0	1	1
"YAR023C"	27	16	11	29	46	36
"YAR027W"	364	215	145	316	414	362
"YAR028W"	48	26	6	42	31	16
"YAR029W"	3	0	0	0	0	0
"YAR030C"	4	13	6	44	26	43
"YAR031W"	0	4	0	3	0	1
"YAR033W"	3	0	1	0	0	0
"YAR035C-A"	0	0	0	0	1	0
"YAR035W"	68	46	28	288	269	493
"YAR042W"	134	126	74	297	310	279
"YAR047C"	0	0	0	2	9	10
"YAR050W"	4	0	0	2	10	6
"YAR053W"	0	0	0	0	1	0
"YAR060C"	0	0	0	0	0	0
"YAR064W"	0	0	0	0	0	0
"YAR066W"	0	0	0	0	0	0
"YAR068W"	0	8	0	1	1	0
"YAR069C"	0	0	0	0	0	0
"YAR070C"	0	0	0	0	0	0
"YAR071W"	9	9	5	28	30	25
"YAR073W"	0	3	1	0	0	0
"YAR075W"	1	0	0	1	5	2
"YBL001C"	2149	2207	1715	3903	4197	10046
"YBL002W"	7574	7066	4329	1146	1546	2716
"YBL003C"	7876	7441	2192	1428	1774	2498
"YBL004W"	158	107	63	105	98	134
"YBL005W"	122	104	80	188	231	238
"YBL006C"	313	273	274	446	392	745
"YBL006W-A"	0	0	0	0	0	0
"YBL007C"	822	691	300	606	684	670
"YBL008W"	304	217	170	255	320	285
"YBL008W-A"	0	1	0	0	0	0
"YBL009W"	70	73	40	86	71	69
"YBL010C"	81	59	54	87	90	78
"YBL011W"	137	82	70	214	210	170
"YBL012C"	0	0	0	0	0	0
"YBL013W"	4	1	1	0	0	0
"YBL014C"	109	106	73	238	248	234
"YBL015W"	685	473	164	2087	2537	4165
"YBL016W"	15	9	8	55	38	47
"YBL017C"	79	43	31	80	77	77
"YBL018C"	117	90	83	222	159	142
"YBL019W"	113	58	45	134	215	185
"YBL020W"	75	60	49	88	112	120
"YBL021C"	237	233	154	630	685	906
